Blood Sugar Reading time,Blood_Sugar_Level,Lispro_Before_Breakfast (mg),Lispro_Before_Lunch (mg),Lispro_Before_Dinner (mg),Glargine_Before_Bedtime (mg),,,,,
Before_Breakfast,180,,,,15,,,,,
Before_Lunch,220,,,,,,,,,
Before_Dinner,230,,,,,,,,,
Before_Bedtime,230,,,,,,,,,
Before_Breakfast,190,,,,,,,,,
Before_Lunch,230,,,,15,,,,,
Before_Dinner,240,,,,,,,,,
Before_Bedtime,240,,,,,,,,,
Before_Breakfast,200,,,,20,,,,,
Before_Lunch,230,,,,,,,,,
Before_Dinner,250,,,,,,,,,
Before_Bedtime,250,,,,,,,,,
Before_Breakfast,210,5,,,20,,,,,
Before_Lunch,240,,5,,,,,,,
Before_Dinner,260,,,5,,,,,,
Before_Bedtime,260,,,,,,,,,
Before_Breakfast,220,7,,,25,,,,,
Before_Lunch,250,,7,,,,,,,
Before_Dinner,270,,,7,,,,,,
Before_Bedtime,270,,,,,,,,,
Before_Breakfast,230,8,,,25,,,,,
Before_Lunch,260,,8,,,,,,,
Before_Dinner,280,,,8,,,,,,
Before_Bedtime,280,,,,,,,,,
Before_Breakfast,230,10,,,25,,,,,
Before_Lunch,270,,10,,,,,,,
Before_Dinner,290,,,10,,,,,,
Before_Bedtime,290,,,,,,,,,
Before_Breakfast,240,12,,,30,,,,,
Before_Lunch,280,,12,,,,,,,
Before_Dinner,300,,,12,,,,,,
Before_Bedtime,300,,,,,,,,,
Before_Breakfast,250,14,,,35,,,,,
Before_Lunch,280,,14,,,,,,,
Before_Dinner,310,,,14,,,,,,
Before_Bedtime,310,,,,,,,,,
Before_Breakfast,260,15,,,35,,,,,
Before_Lunch,300,,15,,,,,,,
Before_Dinner,320,,,15,,,,,,
Before_Bedtime,320,,,,,,,,,
Before_Breakfast,270,20,,,35,,,,,
Before_Lunch,310,,20,,,,,,,
Before_Dinner,330,,,20,,,,,,
Before_Bedtime,330,,,,,,,,,
Before_Breakfast,280,20,,,40,,,,,
Before_Lunch,320,,20,,,,,,,
Before_Dinner,340,,,20,,,,,,
Before_Bedtime,340,,,,,,,,,
Before_Breakfast,300,20,,,45,,,,,
Before_Lunch,330,,20,,,,,,,
Before_Dinner,350,,,20,,,,,,
Before_Bedtime,350,,,,,,,,,
Before_Breakfast,310,25,,,45,,,,,
Before_Lunch,340,,25,,,,,,,
Before_Dinner,360,,,25,,,,,,
